id,slug,name,kind,expectedCategory,actualCategoryIds,status
asianRestaurants_77a64bfea5a1,tao-s-asian-restaurant-77a6,Tao's Asian Restaurant,restaurant,asian,asian,OK
asianRestaurants_788113ad98ac,sushaki-greek-sushi-experience-7881,Sushaki | Greek Sushi Experience,restaurant,asian,asian,OK
asianRestaurants_7aa0cb0c0f53,sister-7aa0,Sister,restaurant,asian,asian,OK
asianRestaurants_7b20ac80bba4,hanaya-sushi-7b20,Hanaya Sushi,restaurant,asian,asian,OK
asianRestaurants_7b8b9814562d,pink-flamingo-dim-sum-7b8b,Pink Flamingo Dim Sum,restaurant,asian,asian,OK
asianRestaurants_7dd246309f18,asian-house-7dd2,Asian House,restaurant,asian,asian,OK
asianRestaurants_829415263030,mongo-asian-food-8294,Mongo Asian Food,restaurant,asian,asian,OK
asianRestaurants_83a81f921b31,tuk-tuk-thai-street-food-83a8,TUK TUK THAI STREET FOOD,restaurant,asian,asian,OK
asianRestaurants_8419e93bcb2d,ikigai-the-dumpling-experience-8419,Ikigai - The Dumpling Experience,restaurant,asian,asian,OK
asianRestaurants_84fbfd57e68e,ryotei-118-84fb,Ryōtei 118,restaurant,asian,asian|burgers,OK
asianRestaurants_879da0a96347,saipan-kineziko-estiatorio-879d,Saipan Κινέζικο Εστιατόριο,restaurant,asian,asian,OK
asianRestaurants_8c0b6c732554,black-lotus-vietnamese-restaurant-8c0b,Black Lotus Vietnamese Restaurant,restaurant,asian,asian,OK
asianRestaurants_8d5a854c9f57,koi-sushi-bar-8d5a,Koi Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_a10e769c77cd,shisan-sushi-bar-a10e,Shisan Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_a37aef170d67,koyasan-in-philadelphia-a37a,KoYaSan in Philadelphia,restaurant,asian,asian,OK
asianRestaurants_a4e89dbc83d0,salamat-asian-food-store-a4e8,Salamat | Asian Food Store,restaurant,asian,asian,OK
asianRestaurants_a89412856273,koyasan-in-koukaki-a894,Koyasan in koukaki,restaurant,asian,asian,OK
asianRestaurants_aa56878cf133,nagomi-jpn-aa56,Nagomi Jpn,restaurant,asian,asian|desserts,OK
asianRestaurants_ac2889417da3,noodle-bar-peiraias-ac28,Noodle Bar Πειραιάς,restaurant,asian,asian,OK
asianRestaurants_b06ea4e8fead,shisan-sushi-bar-b06e,Shisan Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_b60f010973e9,street-wok-b60f,Street wok,restaurant,asian,asian|cheap-eats,OK
asianRestaurants_be2d9e8cfa29,kuchisabishii-sakaba-be2d,Kuchisabishii Sakaba,restaurant,asian,asian,OK
asianRestaurants_c5266398dba0,bebop-c526,Bebop,restaurant,asian,asian|rooftop-lounges,OK
asianRestaurants_c5be8384da5c,hanoi-athens-authentic-vietnamese-food-c5be,HANOI ATHENS - AUTHENTIC VIETNAMESE FOOD,restaurant,asian,asian|vegetarian,OK
asianRestaurants_c79d456ae7d7,noodle-bar-c79d,Noodle Bar,restaurant,asian,asian,OK
asianRestaurants_cb2b61b87e3c,toukta-thai-food-cb2b,Toukta Thai food,restaurant,asian,asian,OK
asianRestaurants_d1a59d966352,east-pearl-chinese-restaurant-d1a5,East Pearl Chinese restaurant,restaurant,asian,asian,OK
asianRestaurants_d23972f8388f,noodle-shop-d239,Noodle Shop - 相遇面馆,restaurant,asian,asian,OK
asianRestaurants_d2dfba8aa86e,ikigai-japanese-market-d2df,Ikigai Japanese Market,restaurant,asian,asian,OK
asianRestaurants_d86051389e82,kaii-sushi-bar-d860,Kaii sushi bar,restaurant,asian,asian,OK
asianRestaurants_d8c154eb91c4,cho-cho-san-drosia-d8c1,Cho Cho San Drosiá,restaurant,asian,asian,OK
asianRestaurants_db50748440dc,bambao-mykonos-db50,Bambao Mykonos,restaurant,asian,asian,OK
asianRestaurants_ddcb57380116,ekiben-kitchen-ddcb,EKIBEN KITCHEN,restaurant,asian,asian|burgers,OK
asianRestaurants_de634fe107b8,sushi-j-de63,SUSHI J,restaurant,asian,asian,OK
asianRestaurants_df4a095e5eb1,kikko-sushi-fish-df4a,Kikko Sushi & Fish,restaurant,asian,asian,OK
asianRestaurants_e28b11d8898b,nolan-e28b,Nolan,restaurant,asian,asian|luxury-dining,OK
asianRestaurants_e45a00190680,nyx-japanese-rooftop-gastrobar-e45a,NYX Japanese Rooftop Gastrobar,restaurant,asian,asian|luxury-dining|rooftop-lounges,OK
asianRestaurants_e9c045aff53d,sushaki-greek-sushi-experience-e9c0,Sushaki | Greek Sushi Experience,restaurant,asian,asian,OK
asianRestaurants_ea18f7423739,streetwok-ea18,StreetWok,restaurant,asian,asian|cheap-eats,OK
asianRestaurants_ec91ac928fa7,nakama-sushi-bar-ec91,Nakama Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_f1cd493b50d2,zafran-indian-kitchen-f1cd,Zafran Indian Kitchen,restaurant,asian,asian,OK
asianRestaurants_f31c7fe7455a,168-bar-f31c,168 Bar,restaurant,asian,asian,OK
asianRestaurants_f4e606aad25d,shisan-sushi-bar-f4e6,Shisan Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_f6ce39f326eb,noodle-bar-glyfada-f6ce,NOODLE BAR ΓΛΥΦΑΔΑ,restaurant,asian,asian,OK
asianRestaurants_fa15bba13e7a,asian-house-fa15,Asian House,restaurant,asian,asian,OK
asianRestaurants_fd79716bd06b,mayman-fd79,Mayman,restaurant,asian,asian,OK
burgersRestaurants_01217d39d9c7,queen-burger-0121,Queen Burger,restaurant,burgers,burgers,OK
burgersRestaurants_01b4e6c2697b,smashtag-01b4,SmashTag,restaurant,burgers,burgers,OK
burgersRestaurants_020aef5345e3,raw-street-burger-chalandri-020a,Raw Street Burger - Chalandri,restaurant,burgers,burgers,OK
burgersRestaurants_0329702a3adc,hankypanky-0329,HankyPanky,restaurant,burgers,burgers,OK
burgersRestaurants_07b3e771beba,layers-07b3,LAYERS,restaurant,burgers,burgers,OK
burgersRestaurants_07d450e3e91f,shoreditch-burgers-sandwiches-07d4,Shoreditch Burgers & Sandwiches,restaurant,burgers,burgers,OK
burgersRestaurants_08ca7d0bda51,koutsi-katsika-street-food-nea-filadelfeia-08ca,Koutsi Katsika Street Food Νέα Φιλαδέλφεια,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_09af19b27a7c,po-boys-bbq-09af,PO'BOYS BBQ,restaurant,burgers,burgers,OK
burgersRestaurants_0c007445e9cc,balboa-thessaloniki-0c00,Balboa Thessaloniki,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_0f3559803382,street-burger-0f35,Street Burger,restaurant,burgers,burgers,OK
burgersRestaurants_108c8d4114f6,bbc-burger-barbeque-corner-108c,BBC Burger Barbeque Corner,restaurant,burgers,burgers,OK
burgersRestaurants_11e6ae00efca,melt-burgers-11e6,Melt Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_15242c3b8b89,mpear-1524,MPEAR,restaurant,burgers,burgers,OK
burgersRestaurants_1d96aca1c01c,bulldogs-the-beast-1d96,Bulldogs & the Beast,restaurant,burgers,burgers,OK
burgersRestaurants_1d9dede89409,hippy-joe-1d9d,Hippy Joe,restaurant,burgers,burgers,OK
burgersRestaurants_1efcdff68c36,urban-burger-co-1efc,Urban Burger Co.,restaurant,burgers,burgers,OK
burgersRestaurants_21be773739d0,brothers-in-law-smash-n-pasta-thermi-21be,Brothers in Law Smash 'n' Pasta Thermi,restaurant,burgers,burgers|italian,OK
burgersRestaurants_23a9c50becc9,serial-grillers-23a9,Serial Grillers,restaurant,burgers,burgers,OK
burgersRestaurants_23f9084c3497,jazz-burger-bar-neo-irakleio-23f9,Jazz Burger Bar Νέο Ηρακλειο,restaurant,burgers,burgers,OK
burgersRestaurants_2488bfd093b0,raw-street-burger-2488,RAW Street Burger,restaurant,burgers,burgers,OK
burgersRestaurants_264306258d6e,busty-s-burger-2643,Busty's Burger,restaurant,burgers,burgers,OK
burgersRestaurants_2779a1763d04,juicy-grill-athens-2779,Juicy Grill Athens,restaurant,burgers,burgers,OK
burgersRestaurants_293449c2193c,exberg-2934,Exberg,restaurant,burgers,burgers,OK
burgersRestaurants_2bbfe567ce4d,taz-smash-burger-2bbf,Taz Smash Burger,restaurant,burgers,burgers,OK
burgersRestaurants_2c0faaef9d53,holy-smoke-bbq-streetfood-2c0f,Holy Smoke BBQ Streetfood,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_2cfc1007d530,criminal-taste-smash-burger-2cfc,Criminal Taste - Smash Burger,restaurant,burgers,burgers,OK
burgersRestaurants_3171f582de55,mpiftekadiko-to-paggaio-3171,ΜΠΙΦΤΕΚΑΔΙΚΟ "ΤΟ ΠΑΓΓΑΙΟ",restaurant,burgers,burgers,OK
burgersRestaurants_333f3b6e6592,chicken-queen-333f,Chicken Queen,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_349cb9dc8b75,smash-n-bun-349c,Smash'n Bun,restaurant,burgers,burgers,OK
burgersRestaurants_34e5b1f181ce,pax-burgers-chalandri-34e5,PAX Burgers Chalandri,restaurant,burgers,burgers,OK
burgersRestaurants_35e7234b2904,burger-house-pangeo-35e7,Burger House "Pangèo",restaurant,burgers,burgers,OK
burgersRestaurants_3c1c73d21fec,meat-n-roses-kolonaki-3c1c,Meat n Roses Kolonaki,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_3d23e4017c79,f-smashing-marousi-delivery-take-away-only-3d23,F* Smashing Marousi (Delivery & Take away Only!),restaurant,burgers,burgers,OK
burgersRestaurants_4060fc5be247,maestro-cantina-4060,Maestro Cantina,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_4176fe5b3851,guilty-adam-4176,Guilty Adam,restaurant,burgers,burgers,OK
burgersRestaurants_4906276397a1,godgilla-keratsini-4906,GODGILLA ΚΕΡΑΤΣΙΝΙ,restaurant,burgers,burgers|cheap-eats,OK
